,Academic_Year,LSS_Name,School_Name,Assessment,Student_Group,Tested_Count,Proficient_Pct,Create_Date,Level,Subject,Grade
9506,2021.0,Baltimore County,Fifth District Elementary,English/Language Arts Grade 5,All Students,48.0,43.8,20220211.0,Elementary,English/Language,5
9519,2021.0,Baltimore County,Prettyboy Elementary,English/Language Arts Grade 3,All Students,58.0,55.2,20220211.0,Elementary,English/Language,3
9530,2021.0,Baltimore County,Prettyboy Elementary,English/Language Arts Grade 4,All Students,64.0,39.1,20220211.0,Elementary,English/Language,4
9544,2021.0,Baltimore County,Prettyboy Elementary,English/Language Arts Grade 5,All Students,53.0,37.7,20220211.0,Elementary,English/Language,5
9558,2021.0,Baltimore County,Seventh District Elementary,English/Language Arts Grade 3,All Students,53.0,35.8,20220211.0,Elementary,English/Language,3
9572,2021.0,Baltimore County,Seventh District Elementary,English/Language Arts Grade 4,All Students,55.0,52.7,20220211.0,Elementary,English/Language,4
9586,2021.0,Baltimore County,Seventh District Elementary,English/Language Arts Grade 5,All Students,68.0,51.5,20220211.0,Elementary,English/Language,5
9600,2021.0,Baltimore County,Hereford High,English/Language Arts Grade 8,All Students,20.0,40.0,20220211.0,High,English/Language,8
9609,2021.0,Baltimore County,Hereford High,English/Language Arts Grade 10,All Students,290.0,78.3,20220211.0,High,English/Language,10
9624,2021.0,Baltimore County,Sparks Elementary,English/Language Arts Grade 3,All Students,74.0,54.1,20220211.0,Elementary,English/Language,3
9639,2021.0,Baltimore County,Sparks Elementary,English/Language Arts Grade 4,All Students,82.0,51.2,20220211.0,Elementary,English/Language,4
9655,2021.0,Baltimore County,Sparks Elementary,English/Language Arts Grade 5,All Students,89.0,46.1,20220211.0,Elementary,English/Language,5
9670,2021.0,Baltimore County,Lutherville Laboratory,English/Language Arts Grade 3,All Students,57.0,47.4,20220211.0,Elementary,English/Language,3
9687,2021.0,Baltimore County,Lutherville Laboratory,English/Language Arts Grade 4,All Students,53.0,30.2,20220211.0,Elementary,English/Language,4
9705,2021.0,Baltimore County,Lutherville Laboratory,English/Language Arts Grade 5,All Students,49.0,59.2,20220211.0,Elementary,English/Language,5
9720,2021.0,Baltimore County,Timonium Elementary,English/Language Arts Grade 3,All Students,72.0,61.1,20220211.0,Elementary,English/Language,3
9735,2021.0,Baltimore County,Timonium Elementary,English/Language Arts Grade 4,All Students,68.0,55.9,20220211.0,Elementary,English/Language,4
9750,2021.0,Baltimore County,Timonium Elementary,English/Language Arts Grade 5,All Students,61.0,57.4,20220211.0,Elementary,English/Language,5
9765,2021.0,Baltimore County,Pot Spring Elementary,English/Language Arts Grade 3,All Students,65.0,40.0,20220211.0,Elementary,English/Language,3
9781,2021.0,Baltimore County,Pot Spring Elementary,English/Language Arts Grade 4,All Students,69.0,30.4,20220211.0,Elementary,English/Language,4
9796,2021.0,Baltimore County,Pot Spring Elementary,English/Language Arts Grade 5,All Students,64.0,35.9,20220211.0,Elementary,English/Language,5
9812,2021.0,Baltimore County,Pot Spring Elementary,English/Language Arts Grade 6,All Students,-1.0,-1.0,20220211.0,Elementary,English/Language,6
9817,2021.0,Baltimore County,Riderwood Elementary,English/Language Arts Grade 3,All Students,52.0,48.1,20220211.0,Elementary,English/Language,3
9832,2021.0,Baltimore County,Riderwood Elementary,English/Language Arts Grade 4,All Students,46.0,60.9,20220211.0,Elementary,English/Language,4
9845,2021.0,Baltimore County,Riderwood Elementary,English/Language Arts Grade 5,All Students,32.0,56.3,20220211.0,Elementary,English/Language,5
9857,2021.0,Baltimore County,Padonia International Elementary,English/Language Arts Grade 3,All Students,63.0,17.5,20220211.0,Elementary,English/Language,3
9874,2021.0,Baltimore County,Padonia International Elementary,English/Language Arts Grade 4,All Students,63.0,9.5,20220211.0,Elementary,English/Language,4
9891,2021.0,Baltimore County,Padonia International Elementary,English/Language Arts Grade 5,All Students,81.0,8.6,20220211.0,Elementary,English/Language,5
9909,2021.0,Baltimore County,Pinewood Elementary,English/Language Arts Grade 3,All Students,90.0,64.4,20220211.0,Elementary,English/Language,3
9924,2021.0,Baltimore County,Pinewood Elementary,English/Language Arts Grade 4,All Students,81.0,63.0,20220211.0,Elementary,English/Language,4
9939,2021.0,Baltimore County,Pinewood Elementary,English/Language Arts Grade 5,All Students,82.0,56.1,20220211.0,Elementary,English/Language,5
9954,2021.0,Baltimore County,Warren Elementary,English/Language Arts Grade 3,All Students,58.0,25.9,20220211.0,Elementary,English/Language,3
9972,2021.0,Baltimore County,Warren Elementary,English/Language Arts Grade 4,All Students,70.0,25.7,20220211.0,Elementary,English/Language,4
9988,2021.0,Baltimore County,Warren Elementary,English/Language Arts Grade 5,All Students,47.0,23.4,20220211.0,Elementary,English/Language,5
10003,2021.0,Baltimore County,Mays Chapel Elementary,English/Language Arts Grade 3,All Students,87.0,47.1,20220211.0,Elementary,English/Language,3
10020,2021.0,Baltimore County,Mays Chapel Elementary,English/Language Arts Grade 4,All Students,120.0,43.3,20220211.0,Elementary,English/Language,4
10036,2021.0,Baltimore County,Mays Chapel Elementary,English/Language Arts Grade 5,All Students,95.0,43.2,20220211.0,Elementary,English/Language,5
10053,2021.0,Baltimore County,Ridgely Middle,English/Language Arts Grade 5,All Students,-1.0,-1.0,20220211.0,Middle,English/Language,5
